"요구사항ID","분류","카테고리","요구사항","수용 기준","우선순위","MVP 여부","비고"
"REQ-001","기능","접근권한","승인된 치료사와 관리자만 커뮤니티 게시글, 댓글, 첨부자료를 조회하거나 작성할 수 있어야 한다.","일반 회원이 커뮤니티 API에 접근하면 403 또는 게이트 안내를 받고, THERAPIST 또는 ADMIN은 정상 접근한다.","P0","Y","현재 canAccessCommunity 노출은 있으나 강제 차단은 추가 필요"
"REQ-002","기능","회원가입","사용자는 이메일, 비밀번호, 닉네임으로 회원가입할 수 있어야 한다.","유효한 이메일과 비밀번호로 가입 시 계정이 생성되고 동일 이메일 중복 가입은 거부된다.","P0","Y","현재 구현 범위와 일치"
"REQ-003","기능","로그인","사용자는 로그인 시 Access Token과 Refresh Token을 발급받아야 한다.","정상 로그인 시 Access Token이 응답 본문으로, Refresh Token이 HttpOnly 쿠키로 발급된다.","P0","Y","현재 구현 범위와 일치"
"REQ-004","기능","치료사 인증","일반 회원은 면허번호와 증빙 이미지를 제출해 치료사 인증을 신청할 수 있어야 한다.","면허번호 중복 시 신청이 거절되고, 허용 형식의 이미지 업로드 시 상태가 PENDING으로 저장된다.","P0","Y","이미지 5MB 이하, JPG/JPEG/PNG/WEBP"
"REQ-005","기능","치료사 인증","사용자는 자신의 인증 상태와 반려 사유를 조회할 수 있어야 한다.","신청 전에는 NOT_REQUESTED, 신청 후에는 PENDING/APPROVED/REJECTED 상태가 표시되며 반려 시 사유가 함께 보인다.","P0","Y","현재 구현 범위와 일치"
"REQ-006","기능","관리자 심사","관리자는 치료사 인증 신청을 승인 또는 반려할 수 있어야 한다.","관리자가 승인하면 사용자 역할이 THERAPIST로 변경되고, 반려 시 REJECTED와 반려 사유가 저장된다.","P0","Y","현재 구현 범위와 일치"
"REQ-007","운영","심사 SLA","치료사 인증 신청은 영업일 3일 이내에 처리되어야 한다.","운영 대시보드 또는 리포트에서 평균 처리 시간과 SLA 초과 건수를 확인할 수 있다.","P1","Y","운영 절차 요구사항"
"REQ-008","기능","피드","홈 화면은 추천 피드를 기본값으로 제공해야 한다.","승인된 사용자가 홈에 진입하면 최신성, 조회수, 치료영역 일치도를 반영한 추천 게시글 목록이 노출된다.","P1","Y","초기 추천은 규칙 기반"
"REQ-009","기능","피드","사용자는 치료영역, 연령대, 게시글 유형, 키워드로 피드를 필터링할 수 있어야 한다.","필터 적용 시 조건에 맞는 게시글만 반환되고 페이징이 유지된다.","P0","Y","현재 구현 범위와 거의 일치"
"REQ-010","기능","팔로우","사용자는 다른 치료사를 팔로우하고 팔로잉 피드를 볼 수 있어야 한다.","팔로우 후 팔로잉 피드에는 해당 작성자의 글만 시간순으로 노출된다.","P2","N","Threads 차용 기능, 2차 릴리즈"
