"기능ID","도메인","화면/모듈","기능명","목적","주요 사용자","기능 설명","입력/선행조건","출력/상태 변화","정책/예외","우선순위","릴리즈","현행 백엔드 정합성"
"FNC-001","인증","온보딩/로그인","회원가입 및 로그인","서비스 진입과 세션 발급","비회원, 전체 사용자","이메일, 비밀번호, 닉네임으로 가입하고 로그인 시 Access Token과 Refresh Token을 발급한다.","이메일, 비밀번호, 닉네임 입력","사용자 계정 생성, 로그인 세션 생성, canAccessCommunity 반환","커뮤니티 접근 권한은 로그인과 별개이며 치료사 승인 전에는 읽기/쓰기 모두 제한한다.","P0","MVP","부분 구현"
"FNC-002","인증","치료사 인증 신청","면허 인증 신청","치료사 전용 커뮤니티의 자격 검증","일반 회원","면허번호와 증빙 이미지를 업로드해 치료사 인증을 신청한다.","로그인 완료, 면허번호, 이미지 파일","심사 상태가 PENDING으로 저장된다.","면허번호는 중복 불가, 이미지 형식은 JPG/JPEG/PNG/WEBP, 최대 5MB로 제한한다.","P0","MVP","구현"
"FNC-003","인증","치료사 인증 현황","인증 상태 조회","심사 진행 상황 확인","일반 회원","내 인증 상태를 NOT_REQUESTED, PENDING, APPROVED, REJECTED 중 하나로 확인한다.","로그인 완료","현재 심사 상태와 반려 사유를 조회한다.","반려 시 사유를 반드시 제공하고 재신청 가능 상태를 명시한다.","P0","MVP","구현"
"FNC-004","관리자","인증 심사 센터","치료사 인증 승인/반려","운영자가 가입 자격을 통제","관리자","대기 중인 인증 신청을 목록으로 조회하고 승인 또는 반려 처리한다.","관리자 권한","사용자 역할이 THERAPIST로 승격되거나 REJECTED로 변경된다.","반려 시 사유 입력 필수, 승인/반려 이력은 감사 로그로 남긴다.","P0","MVP","구현"
"FNC-005","권한","커뮤니티 접근 게이트","커뮤니티 입장 제한","치료사 전용 폐쇄형 커뮤니티를 보장","일반 회원, 치료사, 관리자","승인된 치료사와 관리자만 커뮤니티 피드, 게시글, 댓글, 첨부자료에 접근한다.","로그인 상태와 canAccessCommunity 확인","미승인 사용자는 안내 화면과 인증 유도만 본다.","Threads의 공개 대화 구조를 그대로 쓰지 않고 본 서비스는 폐쇄형 커뮤니티로 제한한다.","P0","MVP","신규 요구"
"FNC-006","피드","홈 피드","추천 피드","관련도 높은 대화를 우선 노출","치료사, 관리자","기본 피드는 Threads의 For You처럼 추천형으로 제공하되, 초기에는 최신성, 조회수, 치료영역 일치도를 결합한 규칙 기반 추천을 사용한다.","승인된 사용자","추천 게시글 리스트 노출","초기 MVP에서는 완전 개인화 대신 규칙 기반 추천을 사용한다.","P1","MVP","부분 구현"
"FNC-007","피드","홈 피드","팔로잉 피드","관심 치료사의 글만 빠르게 탐색","치료사, 관리자","팔로우한 치료사들의 게시글만 시간순으로 노출한다.","승인된 사용자, 팔로우 관계 존재","팔로잉 전용 피드 노출","Threads 스타일을 차용하지만 팔로우 모델이 아직 없으므로 2차 릴리즈로 둔다.","P2","Phase 2","미구현"
"FNC-008","피드","탐색/필터","주제 기반 탐색","전문 분야별 대화 탐색","치료사, 관리자","치료영역, 연령대, 게시글 유형, 키워드로 피드를 필터링한다.","승인된 사용자","필터가 적용된 게시글 목록 조회","Threads의 topic 개념을 치료영역과 연령대 태그로 치환한다.","P0","MVP","구현"
"FNC-009","콘텐츠","글 작성","스레드형 게시글 작성","짧고 빠른 전문 대화 생성","치료사, 관리자","제목, 본문, 게시글 유형, 치료영역, 연령대를 입력해 게시글을 작성한다.","승인된 사용자","게시글 생성","Threads 감성은 유지하되 현재 백엔드 구조에 맞춰 제목 필수로 정의한다.","P0","MVP","구현"
"FNC-010","콘텐츠","글 상세","게시글 상세 조회","본문과 첨부자료, 반응, 댓글 진입 제공","치료사, 관리자","게시글 전문, 작성자 정보, 반응 수, 댓글, 첨부자료를 보여준다.","승인된 사용자, 게시글 존재","조회수 증가, 상세 화면 노출","삭제된 게시글은 노출하지 않는다.","P0","MVP","구현"
